NAME,R_T,ResTime,B2A_ratio,NB_Yield,DNB_Yield,CO2e,TOTALCOST
TYPE,DATA,DATA,DATA,DATA,DATA,DATA,DATA
168,85,0.000937567,0.786051914,3.5573119,7.40E-07,10.0302024,4724.9741
169,85,0.00082055,0.628841531,3.429797651,6.83E-07,10.1326137,5244.07004
170,85,0.000729193,0.524034609,3.256167492,6.12E-07,10.208443,5748.0361
171,85,0.000655985,0.449172522,3.067498875,5.41E-07,10.2620449,6238.78965
172,85,0.000596051,0.393025957,2.877904475,4.75E-07,10.2761774,6717.52987
173,85,0.000546103,0.349356406,2.694477049,4.17E-07,10.2805885,7185.50819
174,85,0.000503848,0.314420766,2.519805713,3.65E-07,10.258421,7643.39091
175,85,0.00565337,0.786051914,15.09921614,1.54E-05,10.3945361,4148.47947
176,85,0.004944544,0.628841531,15.19162032,1.56E-05,10.5110216,4668.82826
177,85,0.004391487,0.524034609,14.90973842,1.49E-05,10.5939496,5190.88519
178,85,0.003948655,0.449172522,14.42630156,1.39E-05,10.645775,5706.84465
179,85,0.003586404,0.393025957,13.83742536,1.27E-05,10.6680229,6213.41576
180,85,0.003284732,0.349356406,13.19581578,1.15E-05,10.6457299,6709.94178
181,85,0.003029698,0.314420766,12.53635348,1.03E-05,10.5800512,7193.40997
182,85,0.010393264,0.786051914,21.81368877,3.54E-05,10.6505197,3838.12782
183,85,0.009088243,0.628841531,22.44932055,3.77E-05,10.7837322,4217.18204
184,85,0.008069816,0.524034609,22.43525404,3.76E-05,10.8907822,4760.06074
185,85,0.007254424,0.449172522,22.03630738,3.61E-05,10.9373562,5290.28474
186,85,0.006587539,0.393025957,21.40882929,3.39E-05,10.9678027,5812.64685
187,85,0.006032313,0.349356406,20.64376868,3.13E-05,10.9429237,6324.41446
188,85,0.005563044,0.314420766,19.80430483,2.87E-05,10.9058592,6825.6766
189,85,0.015145396,0.786051914,26.39867589,5.56E-05,9.85728696,4222.42801
190,85,0.013242634,0.628841531,27.57555571,6.15E-05,11.0065315,4497.64545
191,85,0.011757287,0.524034609,27.88851703,6.32E-05,11.1251992,4598.0851
192,85,0.010567962,0.449172522,27.66621635,6.21E-05,11.1890416,4923.01628
193,85,0.009595282,0.393025957,27.10948697,5.93E-05,11.2248294,5475.99221
194,85,0.008785537,0.349356406,26.33845457,5.57E-05,11.1969768,6004.43658
195,85,0.008101238,0.314420766,25.43814722,5.17E-05,11.141743,6517.36329
196,85,0.019905112,0.786051914,29.80254961,7.47E-05,10.9846386,4597.40744
197,85,0.017403919,0.628841531,31.47296743,8.54E-05,11.1938023,4846.71635
198,85,0.015450815,0.524034609,32.10680259,8.98E-05,11.332003,5009.85776
199,85,0.013886756,0.449172522,32.08093839,8.98E-05,11.4183875,5101.70311
200,85,0.012607575,0.393025957,31.63136763,8.71E-05,11.4541229,5129.12554
201,85,0.011542709,0.349356406,30.90159076,8.28E-05,11.4367293,5719.0102
202,85,0.010642868,0.314420766,29.99423209,7.76E-05,11.3962493,6253.72699
203,85,0.024670048,0.786051914,32.4646525,9.26E-05,11.0929771,4823.65034
204,85,0.021570093,0.628841531,34.57840741,0.000108601,11.3256151,5106.30062
205,85,0.019148719,0.524034609,35.51152151,0.000116466,11.4796911,5300.79223
206,85,0.017209398,0.449172522,35.67937522,0.000118301,11.5699674,5430.11909
207,85,0.015623235,0.393025957,35.34716006,0.000116125,11.6662237,5509.28249
208,85,0.014302828,0.349356406,34.67805561,0.000111471,11.6479332,5494.38232
209,85,0.013187087,0.314420766,33.78941453,0.000105402,11.6119085,6006.19701
210,95,0.000927416,0.786051914,4.77728983,1.83E-06,10.0376786,4906.87442
211,95,0.000811766,0.628841531,4.629909779,1.70E-06,10.1675159,5467.28288
212,95,0.000721453,0.524034609,4.412893176,1.54E-06,10.2442997,6010.4294
